Date,Open,High,Low,Close,Adj Close,Volume
2021-09-06,220.360001,223.580002,218.830002,219.100006,216.083344,1266500
2021-09-13,220.639999,223.210007,215.600006,216.389999,213.410660,1473300
2021-09-20,212.449997,217.889999,211.679993,217.460007,214.465927,1002000
2021-09-27,215.850006,217.589996,207.589996,209.190002,206.309784,1138800
2021-10-04,207.839996,214.919998,205.690002,212.899994,209.968704,1070300
2021-10-11,213.360001,224.429993,212.550003,224.419998,221.330093,1693000
2021-10-18,222.119995,225.809998,221.160004,223.000000,219.929657,851300
2021-10-25,227.360001,238.000000,226.419998,237.169998,233.904541,2967700
2021-11-01,241.350006,266.670013,238.899994,262.519989,258.905518,3587600
2021-11-08,262.359985,263.940002,252.720001,258.570007,255.009918,1779100
2021-11-15,260.190002,271.899994,257.480011,271.309998,267.574493,2006100
2021-11-22,275.369995,278.779999,261.230011,262.709991,259.092896,1772600
2021-11-29,266.100006,267.820007,256.799988,258.809998,255.246613,1719000
2021-12-06,258.890015,268.420013,256.869995,261.299988,257.702301,1672600
2021-12-13,259.880005,260.809998,251.889999,252.509995,249.033325,1991400
2021-12-20,250.440002,254.479996,246.839996,253.460007,249.970276,1442900
2021-12-27,254.679993,260.429993,254.279999,258.820007,255.256454,731900
2022-01-03,259.399994,271.950012,254.119995,257.019989,253.481232,1741800
2022-01-10,252.029999,259.500000,242.500000,245.389999,242.011368,1757100
2022-01-17,238.479996,243.300003,231.889999,232.309998,229.111465,1459600
2022-01-24,227.070007,232.869995,220.539993,226.979996,223.854843,1948100
2022-01-31,225.520004,239.059998,225.229996,230.130005,226.961487,2478800
2022-02-07,225.949997,234.505005,216.190002,218.169998,215.166138,2718500
2022-02-14,217.720001,226.100006,216.529999,220.380005,217.345718,1485600
2022-02-21,217.000000,221.449997,204.300003,213.419998,210.481537,1838500
2022-02-28,212.039993,218.000000,196.679993,198.410004,195.678207,2150200
2022-03-07,195.279999,199.199997,178.869995,190.449997,187.827805,3792600
2022-03-14,194.490005,210.520004,192.240005,209.610001,206.723999,2067000
2022-03-21,210.000000,214.949997,205.580002,213.339996,210.402649,2023400
2022-03-28,215.000000,225.580002,213.210007,221.080002,218.036087,2061800
2022-04-04,229.619995,232.139999,216.899994,219.509995,216.487701,2743800
2022-04-11,219.240005,226.559998,218.106003,219.990005,216.961090,1475200
2022-04-18,219.990005,225.960007,210.309998,210.460007,207.562317,1460200
2022-04-25,209.029999,215.880005,204.550003,209.740005,208.239548,1697500
2022-05-02,209.500000,215.860001,194.699997,197.860001,196.444519,3255600
2022-05-09,192.910004,196.220001,183.972000,193.910004,192.522781,3149700
2022-05-16,192.509995,193.360001,181.669998,189.479996,188.124466,3601000
2022-05-23,188.529999,201.869995,186.960999,201.860001,200.415909,1832200
2022-05-30,195.779999,198.000000,187.759995,189.710007,188.352829,1954800
2022-06-06,192.600006,194.839996,180.669998,181.820007,180.519287,2147600
2022-06-13,174.119995,180.024994,167.449997,176.029999,174.770691,3573900
2022-06-20,183.500000,192.059998,181.020004,191.940002,190.566879,1973100
2022-06-27,188.919998,189.960007,179.270004,187.940002,186.595490,2045500
2022-07-04,185.460007,194.979996,184.860001,193.630005,192.244797,1043800
2022-07-11,192.770004,195.550003,185.317993,193.470001,192.085938,2073400
2022-07-18,198.979996,204.419998,194.350006,200.429993,198.996124,2075600
2022-07-25,203.300003,211.250000,194.860001,211.229996,209.718872,1652800
2022-08-01,213.889999,217.470001,210.548004,211.940002,210.423798,1738400
2022-08-08,213.300003,216.839996,210.000000,215.809998,214.266113,1116900
2022-08-15,214.539993,215.389999,205.570007,207.039993,205.558838,1078800
2022-08-22,202.500000,207.089996,197.750000,197.789993,196.375015,1341100
2022-08-29,198.369995,200.160004,190.080002,191.179993,189.812302,1616400
2022-09-05,188.710007,197.820007,187.169998,195.800003,194.399261,1113800
2022-09-12,200.479996,202.809998,195.029999,196.899994,195.491379,1744400
2022-09-19,194.710007,198.529999,183.630005,186.250000,184.917587,2287500
2022-09-26,187.279999,191.789993,183.149994,185.000000,183.676529,1849500
2022-10-03,183.860001,196.050003,182.789993,185.000000,183.676529,1956700
2022-10-10,184.580002,186.270004,176.820007,180.630005,179.337784,1986300
2022-10-17,186.720001,193.479996,184.149994,188.369995,187.022415,1298300
2022-10-24,189.500000,199.440002,189.410004,198.649994,197.228867,1627400
2022-10-31,196.740005,203.000000,188.929993,199.199997,197.774933,2265600
2022-11-07,200.419998,218.539993,198.645004,216.860001,215.308594,1831400
2022-11-14,215.899994,216.889999,210.949997,216.330002,214.782394,1317200
2022-11-21,214.860001,218.899994,213.934998,218.139999,216.579437,627700
2022-11-28,218.970001,228.399994,215.074997,226.580002,224.959061,1362600
2022-12-05,226.919998,227.039993,218.699997,220.720001,219.140991,1247300
2022-12-12,222.289993,230.171997,218.110001,218.110001,216.549652,1072900
2022-12-19,218.380005,218.380005,209.880005,211.009995,209.500443,1139100
2022-12-26,211.800003,216.929001,210.035004,214.220001,212.687485,684000
2023-01-02,216.660004,224.804993,213.970001,224.080002,222.476944,1089900
2023-01-09,230.000000,237.100006,228.770004,235.919998,234.232239,1711200
2023-01-16,237.360001,242.639999,236.669998,242.380005,240.646042,1823200
